timepoint,temp,embryo,well,pheno_note,tag
36,34C,HF4-36-HF4-36hpf-34C_P12_G9,G9,norm,36-34C-G9
30,34C,HF4-30-HF4-30hpf-34C_P9_G11,G11,severe,30-34C-G11
36,32C,HF4-36-HF4-36hpf-32C_P12_A3,A3,norm,36-32C-A3
36,34C,HF4-36-HF4-36hpf-34C_P12_H8,H8,norm,36-34C-H8
36,32C,HF4-36-HF4-36hpf-32C_P12_F4,F4,norm,36-32C-F4
24,34C,HF4-24-HF4-24hpf-34C_P2_B8,B8,norm,24-34C-B8
24,34C,HF4-24-HF4-24hpf-34C_P2_G12,G12,severe,24-34C-G12
36,32C,HF4-36-HF4-36hpf-32C_P12_E6,E6,severe,36-32C-E6
24,34C,HF4-24-HF4-24hpf-34C_P2_C10,C10,norm,24-34C-C10
24,32C,HF4-24-HF4-24hpf-32C_P2_A6,A6,severe,24-32C-A6
30,32C,HF4-30-HF4-30hpf-32C_P9_D3,D3,norm,30-32C-D3
24,32C,HF4-24-HF4-24hpf-32C_P2_D6,D6,severe,24-32C-D6
36,34C,HF4-36-HF4-36hpf-34C_P12_A8,A8,norm,36-34C-A8
24,34C,HF4-24-HF4-24hpf-34C_P2_F9,F9,norm,24-34C-F9
36,32C,HF4-36-HF4-36hpf-32C_P12_G4,G4,norm,36-32C-G4
24,34C,HF4-24-HF4-24hpf-34C_P2_A10,A10,norm,24-34C-A10
30,32C,HF4-30-HF4-30hpf-32C_P9_H4,H4,norm,30-32C-H4
24,32C,HF4-24-HF4-24hpf-32C_P2_A3,A3,norm,24-32C-A3
36,34C,HF4-36-HF4-36hpf-34C_P12_C8,C8,norm,36-34C-C8
36,34C,HF4-36-HF4-36hpf-34C_P12_F11,F11,severe,36-34C-F11
24,32C,HF4-24-HF4-24hpf-32C_P2_F4,F4,norm,24-32C-F4
30,32C,HF4-30-HF4-30hpf-32C_P9_H7,H7,severe,30-32C-H7
24,34C,HF4-24-HF4-24hpf-34C_P2_A11,A11,severe,24-34C-A11
24,34C,HF4-24-HF4-24hpf-34C_P2_H11,H11,severe,24-34C-H11
36,34C,HF4-36-HF4-36hpf-34C_P12_F12,F12,severe,36-34C-F12
24,32C,HF4-24-HF4-24hpf-32C_P2_E3,E3,norm,24-32C-E3
36,32C,HF4-36-HF4-36hpf-32C_P12_A7,A7,severe,36-32C-A7
24,32C,HF4-24-HF4-24hpf-32C_P2_B4,B4,norm,24-32C-B4
30,34C,HF4-30-HF4-30hpf-34C_P9_F11,F11,severe,30-34C-F11
36,32C,HF4-36-HF4-36hpf-32C_P12_D5,D5,norm,36-32C-D5
24,32C,HF4-24-HF4-24hpf-32C_P2_C4,C4,norm,24-32C-C4
