embryo_id,set_type,set_rank,genotype,bin_hpf,frame_index,matched_stage_hpf,stage_abs_err_hpf,curvature,experiment_date,well,analysis_use
20251112_A10_e01,mutant,11,cep290_homozygous,34.0,15,33.923683731762694,0.07631626823730642,0.0005982408480059,20251112,A10,True
20251112_A10_e01,mutant,11,cep290_homozygous,36.0,19,36.27026952468262,0.2702695246826181,0.0009636389939467,20251112,A10,True
20251112_A10_e01,mutant,11,cep290_homozygous,38.0,22,38.03134323283692,0.03134323283691742,0.0009159109087853,20251112,A10,True
20251112_A10_e01,mutant,11,cep290_homozygous,40.0,25,39.79477616713867,0.2052238328613285,0.0007921496461055,20251112,A10,True
20251112_A10_e01,mutant,11,cep290_homozygous,42.0,29,42.147866540869146,0.14786654086914552,0.0007394556772427,20251112,A10,True
20251112_A10_e01,mutant,11,cep290_homozygous,44.0,32,43.906451166162114,0.09354883383788604,0.0007913512073311,20251112,A10,True
20251112_A10_e01,mutant,11,cep290_homozygous,46.0,36,46.25089496025391,0.250894960253909,0.0006934625710549,20251112,A10,True
20251112_A10_e01,mutant,11,cep290_homozygous,48.0,38,47.423855142431634,0.5761448575683659,0.0006918052723928,20251112,A10,True
20251205_G02_e01,mutant,12,cep290_homozygous,24.0,8,24.06824309157715,0.06824309157714836,0.0012986848520045,20251205,G02,True
20251205_G02_e01,mutant,12,cep290_homozygous,26.0,13,25.96444057141113,0.035559428588868514,0.0016530763150296,20251205,G02,True
20251205_G02_e01,mutant,12,cep290_homozygous,28.0,18,27.87057764099121,0.12942235900878885,0.0008721089834297,20251205,G02,True
20251205_G02_e01,mutant,12,cep290_homozygous,30.0,24,30.14514263642578,0.1451426364257813,0.0010031350835931,20251205,G02,True
20251205_G02_e01,mutant,12,cep290_homozygous,32.0,29,32.040464199902345,0.0404641999023454,0.0007470650827863,20251205,G02,True
20251205_G02_e01,mutant,12,cep290_homozygous,34.0,34,33.9409186706543,0.05908132934570176,0.0008995594325909,20251205,G02,True
20251205_G02_e01,mutant,12,cep290_homozygous,36.0,39,35.83844070600586,0.16155929399413793,0.0004624154804553,20251205,G02,True
20251205_G02_e01,mutant,12,cep290_homozygous,38.0,45,38.11538743945313,0.11538743945313001,0.0010394670090946,20251205,G02,True
20251205_G02_e01,mutant,12,cep290_homozygous,40.0,50,40.01158151696777,0.011581516967773098,0.000733258692764,20251205,G02,True
20251205_G02_e01,mutant,12,cep290_homozygous,42.0,55,41.9118314357666,0.08816856423339914,0.0006494820900212,20251205,G02,True
20251205_G02_e01,mutant,12,cep290_homozygous,44.0,60,43.813126406689456,0.1868735933105441,0.0003688591941086,20251205,G02,True
20251205_G02_e01,mutant,12,cep290_homozygous,46.0,66,46.1006810423584,0.1006810423584028,0.0006126734786687,20251205,G02,True
20251205_G02_e01,mutant,12,cep290_homozygous,48.0,70,47.62101153120118,0.3789884687988234,0.0005235718063491,20251205,G02,True
20251212_A08_e01,mutant,13,cep290_homozygous,24.0,25,24.127278696313475,0.12727869631347488,0.0006481845617424,20251212,A08,True
20251212_A08_e01,mutant,13,cep290_homozygous,26.0,30,25.95078325649414,0.04921674350585903,0.0008983593132841,20251212,A08,True
20251212_A08_e01,mutant,13,cep290_homozygous,28.0,36,28.134269300390624,0.13426930039062412,0.000752152987088,20251212,A08,True
20251212_A08_e01,mutant,13,cep290_homozygous,30.0,41,29.953735149609376,0.046264850390624446,0.0011493453358843,20251212,A08,True
