well_id,well,nd2_series_num,microscope,time_int,Height (um),Width (um),Height (px),Width (px),BF Channel,Objective,Time (s),experiment_date,medium,genotype,chem_perturbation,start_age_hpf,embryos_per_well,temperature,well_qc_flag,Time Rel (s)
20240418_D01,D01,3,YX1,26,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,48965.76583867031,20240418,MC_01,wik,,12,2,,0,48964.78856103516
20240418_D01,D01,3,YX1,27,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,50833.79741459805,20240418,MC_01,wik,,12,2,,0,50832.820136962895
20240418_D01,D01,3,YX1,28,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,52704.57453349453,20240418,MC_01,wik,,12,2,,0,52703.59725585938
20240418_D01,D01,3,YX1,29,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,54575.70325663906,20240418,MC_01,wik,,12,2,,0,54574.72597900391
20240418_D01,D01,3,YX1,30,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,56444.94489970547,20240418,MC_01,wik,,12,2,,0,56443.96762207032
20240418_D01,D01,3,YX1,31,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,58318.13979765469,20240418,MC_01,wik,,12,2,,0,58317.162520019534
20240418_D01,D01,3,YX1,32,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,60186.16758671719,20240418,MC_01,wik,,12,2,,0,60185.190309082034
20240418_D01,D01,3,YX1,33,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,62053.561826707424,20240418,MC_01,wik,,12,2,,0,62052.58454907227
20240418_D01,D01,3,YX1,34,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,63921.524354539455,20240418,MC_01,wik,,12,2,,0,63920.5470769043
20240418_D01,D01,3,YX1,35,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,65788.54545561367,20240418,MC_01,wik,,12,2,,0,65787.56817797851
20240418_D01,D01,3,YX1,36,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,67653.81248051602,20240418,MC_01,wik,,12,2,,0,67652.83520288086
20240418_D01,D01,3,YX1,37,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,69523.69441459805,20240418,MC_01,wik,,12,2,,0,69522.71713696289
20240418_D01,D01,3,YX1,38,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,71388.40621049648,20240418,MC_01,wik,,12,2,,0,71387.42893286132
20240418_D01,D01,3,YX1,39,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,73263.63509868008,20240418,MC_01,wik,,12,2,,0,73262.65782104492
20240418_D01,D01,3,YX1,40,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,75138.64638359219,20240418,MC_01,wik,,12,2,,0,75137.66910595703
20240418_D01,D01,3,YX1,41,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,77011.74555058438,20240418,MC_01,wik,,12,2,,0,77010.76827294922
20240418_D01,D01,3,YX1,42,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,78881.91984965664,20240418,MC_01,wik,,12,2,,0,78880.94257202148
20240418_D01,D01,3,YX1,43,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,80753.14510771328,20240418,MC_01,wik,,12,2,,0,80752.16783007812
20240418_D01,D01,3,YX1,44,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,82622.32945951993,20240418,MC_01,wik,,12,2,,0,82621.35218188477
20240418_D01,D01,3,YX1,45,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,84491.13121855313,20240418,MC_01,wik,,12,2,,0,84490.15394091797
20240418_E01,E01,4,YX1,0,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,75.82255961757805,20240418,EM,wik,,12,2,,0,74.84528198242188
20240418_E01,E01,4,YX1,1,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,2138.932372605859,20240418,EM,wik,,12,2,,0,2137.955094970703
20240418_E01,E01,4,YX1,2,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,4009.7843406234374,20240418,EM,wik,,12,2,,0,4008.8070629882814
20240418_E01,E01,4,YX1,3,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,5885.605699510156,20240418,EM,wik,,12,2,,0,5884.628421875
20240418_E01,E01,4,YX1,4,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,7761.8213916488285,20240418,EM,wik,,12,2,,0,7760.844114013672
20240418_E01,E01,4,YX1,5,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,9640.065685594142,20240418,EM,wik,,12,2,,0,9639.088407958985
20240418_E01,E01,4,YX1,6,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,11507.903465623438,20240418,EM,wik,,12,2,,0,11506.926187988282
20240418_E01,E01,4,YX1,7,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,13380.235285691797,20240418,EM,wik,,12,2,,0,13379.25800805664
