run_id,pair_id,embryo_id,set_type,set_rank,genotype,bin_src_hpf,bin_tgt_hpf,bin_mid_hpf,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
phase2_24_48_ott_v1,20251205_C09_e01__40to42,20251205_C09_e01,mutant,5,cep290_homozygous,40.0,42.0,41.0,-898.60913,-869.18585,163.9005,47.683704,-38.76682,20.913221,44.23515,24.877304,-47.440506,69.79912
phase2_24_48_ott_v1,20251205_C09_e01__42to44,20251205_C09_e01,mutant,5,cep290_homozygous,42.0,44.0,43.0,-1234.978,-655.8878,144.38484,-32.32625,-14.763813,40.223217,9.209905,37.456226,13.282433,-41.562027
phase2_24_48_ott_v1,20251205_C09_e01__44to46,20251205_C09_e01,mutant,5,cep290_homozygous,44.0,46.0,45.0,-2355.7087,-763.23663,357.92383,135.17963,-0.39016858,33.433815,61.782806,76.93654,-96.11315,-49.260902
phase2_24_48_ott_v1,20251205_C09_e01__46to48,20251205_C09_e01,mutant,5,cep290_homozygous,46.0,48.0,47.0,6101.5195,-457.14056,-617.68365,-654.44763,189.94785,-16.073895,-130.30934,-185.1936,300.29562,-432.54355
phase2_24_48_ott_v1,20251112_G09_e01__24to26,20251112_G09_e01,mutant,6,cep290_homozygous,24.0,26.0,25.0,-977.62354,-518.64514,79.384766,-10.613257,-20.485704,40.60859,56.605392,5.957724,-30.156498,19.64791
phase2_24_48_ott_v1,20251112_G09_e01__26to28,20251112_G09_e01,mutant,6,cep290_homozygous,26.0,28.0,27.0,-286.72324,-786.305,115.16853,13.5253725,32.63506,20.637388,0.6544534,50.159203,-39.345036,4.333422
phase2_24_48_ott_v1,20251112_G09_e01__28to30,20251112_G09_e01,mutant,6,cep290_homozygous,28.0,30.0,29.0,681.525,-733.12854,-28.064386,-102.97929,0.29543588,-43.21975,-52.29528,28.294313,41.10748,-72.86715
phase2_24_48_ott_v1,20251112_G09_e01__30to32,20251112_G09_e01,mutant,6,cep290_homozygous,30.0,32.0,31.0,-188.93037,-761.26874,70.55524,-28.189135,23.261616,4.8281007,-20.560352,34.086994,-8.538159,-17.138203
phase2_24_48_ott_v1,20251112_G09_e01__32to34,20251112_G09_e01,mutant,6,cep290_homozygous,32.0,34.0,33.0,-3657.323,-707.4269,477.0659,283.30615,-140.86864,4.9963794,227.27466,9.639848,-52.12666,121.50738
phase2_24_48_ott_v1,20251112_G09_e01__34to36,20251112_G09_e01,mutant,6,cep290_homozygous,34.0,36.0,35.0,-1416.2463,-719.9403,103.56092,-28.718958,12.510157,56.38791,40.625645,14.606514,-104.329765,30.0063
phase2_24_48_ott_v1,20251112_G09_e01__36to38,20251112_G09_e01,mutant,6,cep290_homozygous,36.0,38.0,37.0,-243.15433,-522.2873,-8.755631,-99.77441,-3.926795,1.8025422,-1.7505466,45.57078,27.208252,-36.35529
phase2_24_48_ott_v1,20251112_G09_e01__38to40,20251112_G09_e01,mutant,6,cep290_homozygous,38.0,40.0,39.0,673.4754,-680.7047,-57.78513,-136.64494,43.00027,-48.59121,-37.41551,13.384038,20.225399,-81.81829
phase2_24_48_ott_v1,20251112_G09_e01__40to42,20251112_G09_e01,mutant,6,cep290_homozygous,40.0,42.0,41.0,-855.2517,-885.85004,191.16093,-84.671906,-4.7848554,37.365856,24.8612,59.53486,-4.893074,-11.361966
phase2_24_48_ott_v1,20251112_G09_e01__42to44,20251112_G09_e01,mutant,6,cep290_homozygous,42.0,44.0,43.0,279.61575,-694.5848,6.7213564,-108.4072,-8.88547,-10.755767,-29.306026,23.146732,-2.7055683,-29.177338
phase2_24_48_ott_v1,20251112_G09_e01__44to46,20251112_G09_e01,mutant,6,cep290_homozygous,44.0,46.0,45.0,693.56854,-721.06195,-56.287144,1.1559952,23.406626,-36.51238,-22.124273,16.420708,48.05539,-78.751305
phase2_24_48_ott_v1,20251112_G09_e01__46to48,20251112_G09_e01,mutant,6,cep290_homozygous,46.0,48.0,47.0,16779.434,2496.9065,-3738.6426,-707.75275,-107.56135,-700.60675,848.83545,-452.13284,1864.2604,-805.76086
phase2_24_48_ott_v1,20251112_F11_e01__24to26,20251112_F11_e01,mutant,7,cep290_homozygous,24.0,26.0,25.0,-479.43747,-517.53986,60.882153,-53.386875,29.79571,6.672842,26.318136,50.238785,-4.340335,-41.013035
phase2_24_48_ott_v1,20251112_F11_e01__26to28,20251112_F11_e01,mutant,7,cep290_homozygous,26.0,28.0,27.0,5294.0815,-4617.599,624.883,-38.904243,238.32132,-65.00598,-44.65654,224.14502,246.89912,-116.18326
